ITERATION,STRATEGY_1_COST,STRATEGY_1_EFF,STRATEGY_2_COST,STRATEGY_2_EFF,STRATEGY_4_COST,STRATEGY_4_EFF,u_disutility_delta,t_max_fail,p_allo_success_de,u_disutility_off,p_hyper_D,p_die_hyper_D,p_allo_ae,p_flare,p_flare_uncon,p_flare_uncon_off,p_stop_low,p_stop_med,p_stop_hi,p_sto_ae_allo,u_flare,u_flare_ae,u_hyper
46,14205.96431,13.1840222,18385.72736,13.19742786,12583.09138,13.15414852,0.042097395,8.504257659,0.856914388,0.031581384,0.008053649,0.247947884,0.267000849,0.251583767,0.362886714,0.462109002,0.105264057,0.267429665,0.44665787,0.025635104,0.002178843,0.017020139,0.355803944
47,11286.24222,17.2446207,14760.68449,17.25630018,9253.336058,17.20880035,0.054659192,7.344879104,0.751143006,0.03425998,0.00248449,0.229938571,0.211433537,0.251628213,0.350818839,0.457184596,0.074172011,0.115296551,0.436638728,0.013349072,0.000397004,0.000465598,0.350746753
48,13848.80739,16.29795465,17179.5279,16.312185,10835.72277,16.25511264,0.065141101,7.87965954,0.766579428,0.026168303,0.003455902,0.318738658,0.235951958,0.229446181,0.394528772,0.421430652,0.08984762,0.259237052,0.358725864,0.022498488,0.008742271,0.001376262,0.347102617
49,5619.940792,9.863786155,7495.617422,9.869725172,3147.460034,9.847855635,0.042127318,7.039720722,0.731367075,0.029869908,0.001349527,0.167155683,0.201729577,0.229925256,0.330927738,0.431103979,0.120754289,0.158166912,0.339449792,0.054586504,0.000204598,0.001541685,0.347383713
50,25445.67735,12.99127131,29726.04779,13.00139878,23621.63685,12.95064651,0.079067309,9.273522473,0.799397063,0.033474292,0.002421626,0.302863203,0.22432803,0.2363972,0.39629882,0.444733946,0.06907646,0.145494826,0.387520228,0.02600898,0.005646004,7.02E-08,0.35110905
51,16984.10359,15.38996368,20277.98871,15.4062138,14819.90123,15.35284899,0.042375384,6.41727542,0.796619575,0.054326931,0.006673214,0.247359267,0.196864916,0.220121992,0.363333127,0.426249974,0.076515886,0.159960731,0.408448678,0.024261617,0.010122361,0.012802516,0.351294606
52,5275.658847,15.42563137,7695.389919,15.43641266,3057.595565,15.380549,0.062011739,5.780322333,0.775854572,0.0396064,0.003153836,0.254875592,0.259344854,0.235881515,0.356202328,0.446855547,0.088563973,0.198586382,0.432587599,0.027422816,0.003987395,0.000571439,0.350745663
53,11433.76397,8.479840547,14235.39542,8.484599683,9453.891568,8.443875172,0.053002581,6.439644528,0.82008789,0.048652884,0.003465559,0.276106934,0.259967924,0.235286112,0.348224886,0.46336995,0.060177017,0.200726567,0.31349684,0.024654735,0.001047714,0.198135019,0.349813328
54,3101.913675,10.27544576,6019.515382,10.28809476,1243.748468,10.24666236,0.051924967,5.816707449,0.792966298,0.029236114,0.004224917,0.344104343,0.216208585,0.234038015,0.359935105,0.440570476,0.067198507,0.282801556,0.21794818,0.035326772,0.019883086,0.079049988,0.340706868
55,54707.55867,9.58342073,58067.4015,9.594248075,53178.6115,9.545407534,0.053211156,9.987818262,0.682942988,0.042044947,0.001692799,0.274533175,0.222630025,0.229245653,0.337298681,0.408793464,0.085755235,0.169322806,0.354033046,0.036900153,0.015074105,0.049238725,0.350611404
